[rosmaster.main][INFO] 2021-10-22 12:22:52,271: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-10-22 12:22:52,272: Starting ROS Master Node
[xmlrpc][INFO] 2021-10-22 12:22:52,274: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-10-22 12:22:52,276: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-10-22 12:22:52,276: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-10-22 12:22:52,277: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-10-22 12:22:52,361: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,367: +PARAM [/roslaunch/uris/host_ss42_local__46771] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,972: +PARAM [/ss42/camera_node/res_w] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,973: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,973: +PARAM [/ss42/cam_info_reader_node/cali_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,974: +PARAM [/ss42/camera_node/framerate_low] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,974: +PARAM [/ss42/raw_cam_info_reader_node/cali_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,974: +PARAM [/ss42/cam_info_reader_node/config] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,975: +PARAM [/ss42/raw_cam_info_reader_node/config] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,975: +PARAM [/ss42/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,976: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,976: +PARAM [/ss42/decoder_node/publish_freq] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,977: +PARAM [/ss42/raw_cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,977: +PARAM [/ss42/raw_cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,977: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,978: +PARAM [/ss42/camera_node/framerate_high] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,979: +PARAM [/ss42/camera_node/res_h] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:22:52,987: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:45347/
[rosmaster.master][INFO] 2021-10-22 12:22:52,991: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:45347/
[rosmaster.master][INFO] 2021-10-22 12:22:52,999: +PUB [/rosout_agg] /rosout http://ss42.local:45347/
[rosmaster.master][INFO] 2021-10-22 12:22:53,022: +SUB [/rosout] /rosout http://ss42.local:45347/
[rosmaster.master][INFO] 2021-10-22 12:22:53,503: +PUB [/rosout] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,517: +SERVICE [/ss42/image_proc_node/get_loggers] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,529: +SERVICE [/ss42/image_proc_node/set_logger_level] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,578: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/']
[rosmaster.master][INFO] 2021-10-22 12:22:53,588: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-10-22 12:22:53,737: +SERVICE [/ss42/image_proc_node_debayer/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,747: +PUB [/ss42/image_proc_node_debayer/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,757: +PUB [/ss42/image_proc_node_debayer/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,777: +PARAM [/ss42/image_proc_node_debayer/debayer] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:53,787: +PARAM [/ss42/image_proc_node_debayer/debayer] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:53,847: +PUB [/ss42/image_mono/compressedDepth] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,857: +SERVICE [/ss42/image_mono/compressedDepth/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,877: +PUB [/ss42/image_mono/compressedDepth/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,891: +PUB [/ss42/image_mono/compressedDepth/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:53,957: +PARAM [/ss42/image_mono/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:53,977: +PARAM [/ss42/image_mono/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:53,991: +PARAM [/ss42/image_mono/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,005: +PARAM [/ss42/image_mono/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,027: +PARAM [/ss42/image_mono/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,047: +PARAM [/ss42/image_mono/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,085: +PUB [/ss42/image_mono/compressed] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,097: +SERVICE [/ss42/image_mono/compressed/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,117: +PUB [/ss42/image_mono/compressed/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,137: +PUB [/ss42/image_mono/compressed/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,207: +PARAM [/ss42/image_mono/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,227: +PARAM [/ss42/image_mono/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,242: +PARAM [/ss42/image_mono/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,257: +PARAM [/ss42/image_mono/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,276: +PARAM [/ss42/image_mono/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,286: +PARAM [/ss42/image_mono/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,317: +PUB [/ss42/image_mono] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,357: +PUB [/ss42/image_mono/theora] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,377: +SERVICE [/ss42/image_mono/theora/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,390: +PUB [/ss42/image_mono/theora/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,417: +PUB [/ss42/image_mono/theora/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,504: +PARAM [/ss42/image_mono/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,527: +PARAM [/ss42/image_mono/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,547: +PARAM [/ss42/image_mono/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,564: +PARAM [/ss42/image_mono/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,577: +PARAM [/ss42/image_mono/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,600: +PARAM [/ss42/image_mono/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,617: +PARAM [/ss42/image_mono/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,626: +PARAM [/ss42/image_mono/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,672: +PUB [/ss42/image_color/compressedDepth] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,687: +SERVICE [/ss42/image_color/compressedDepth/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,700: +PUB [/ss42/image_color/compressedDepth/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,717: +PUB [/ss42/image_color/compressedDepth/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,761: +PARAM [/ss42/image_color/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,766: +PARAM [/ss42/image_color/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,770: +PARAM [/ss42/image_color/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,775: +PARAM [/ss42/image_color/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,779: +PARAM [/ss42/image_color/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,783: +PARAM [/ss42/image_color/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,788: +PUB [/ss42/image_color/compressed] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,792: +SERVICE [/ss42/image_color/compressed/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,797: +PUB [/ss42/image_color/compressed/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,801: +PUB [/ss42/image_color/compressed/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,817: +PARAM [/ss42/image_color/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,821: +PARAM [/ss42/image_color/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,826: +PARAM [/ss42/image_color/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,831: +PARAM [/ss42/image_color/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,836: +PARAM [/ss42/image_color/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,841: +PARAM [/ss42/image_color/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,846: +PUB [/ss42/image_color] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,851: +PUB [/ss42/image_color/theora] /ss42/image_proc_node http://ss42.local:44455/
