[rosmaster.main][INFO] 2021-12-09 14:08:42,775: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-09 14:08:42,776: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-09 14:08:42,779: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-09 14:08:42,780: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-09 14:08:42,780: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-09 14:08:42,781: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-09 14:08:42,848: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:42,854: +PARAM [/roslaunch/uris/host_ss42_local__44892] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,396: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:46145/
[rosmaster.master][INFO] 2021-12-09 14:08:43,402: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:46145/
[rosmaster.master][INFO] 2021-12-09 14:08:43,412: +PUB [/rosout_agg] /rosout http://ss42.local:46145/
[rosmaster.master][INFO] 2021-12-09 14:08:43,435: +SUB [/rosout] /rosout http://ss42.local:46145/
[rosmaster.master][INFO] 2021-12-09 14:08:43,537: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,538: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,538: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,539: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,539: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,539: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,540: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 14:08:43,540: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
