[rosmaster.main][INFO] 2021-12-09 13:40:07,060: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-09 13:40:07,060: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-09 13:40:07,063: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-09 13:40:07,064: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-09 13:40:07,064: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-09 13:40:07,065: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-09 13:40:07,171: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,176: +PARAM [/roslaunch/uris/host_ss42_local__38072] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,719: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:36527/
[rosmaster.master][INFO] 2021-12-09 13:40:07,724: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:36527/
[rosmaster.master][INFO] 2021-12-09 13:40:07,737: +PUB [/rosout_agg] /rosout http://ss42.local:36527/
[rosmaster.master][INFO] 2021-12-09 13:40:07,761: +SUB [/rosout] /rosout http://ss42.local:36527/
[rosmaster.master][INFO] 2021-12-09 13:40:07,862: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,862: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,863: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,863: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,864: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,864: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-09 13:40:07,865: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
