[rosmaster.main][INFO] 2021-10-22 13:07:00,048: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-10-22 13:07:00,049: Starting ROS Master Node
[xmlrpc][INFO] 2021-10-22 13:07:00,051: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-10-22 13:07:00,052: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-10-22 13:07:00,053: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-10-22 13:07:00,053: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-10-22 13:07:00,154: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,160: +PARAM [/roslaunch/uris/host_ss42_local__37904] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,683: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:34321/
[rosmaster.master][INFO] 2021-10-22 13:07:00,688: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:34321/
[rosmaster.master][INFO] 2021-10-22 13:07:00,698: +PUB [/rosout_agg] /rosout http://ss42.local:34321/
[rosmaster.master][INFO] 2021-10-22 13:07:00,726: +SUB [/rosout] /rosout http://ss42.local:34321/
[rosmaster.master][INFO] 2021-10-22 13:07:00,844: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,845: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,846: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,846: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,846: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,847: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 13:07:00,847: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
