[rosmaster.main][INFO] 2021-10-22 12:53:41,929: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-10-22 12:53:41,930: Starting ROS Master Node
[xmlrpc][INFO] 2021-10-22 12:53:41,932: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-10-22 12:53:41,933: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-10-22 12:53:41,934: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-10-22 12:53:41,934: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-10-22 12:53:42,033: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,039: +PARAM [/roslaunch/uris/host_ss42_local__41846] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,720: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,721: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,722: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,722: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,723: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,723: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,724: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,724: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,725: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,725: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,726: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,726: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,727: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,727: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,728: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,728: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,729: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:53:42,729: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
