[rosmaster.main][INFO] 2021-10-22 12:40:06,050: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-10-22 12:40:06,051: Starting ROS Master Node
[xmlrpc][INFO] 2021-10-22 12:40:06,053: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-10-22 12:40:06,055: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-10-22 12:40:06,055: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-10-22 12:40:06,056: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-10-22 12:40:06,148: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,154: +PARAM [/roslaunch/uris/host_ss42_local__35820] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,677: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:34107/
[rosmaster.master][INFO] 2021-10-22 12:40:06,683: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:34107/
[rosmaster.master][INFO] 2021-10-22 12:40:06,696: +PUB [/rosout_agg] /rosout http://ss42.local:34107/
[rosmaster.master][INFO] 2021-10-22 12:40:06,724: +SUB [/rosout] /rosout http://ss42.local:34107/
[rosmaster.master][INFO] 2021-10-22 12:40:06,835: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,836: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,842: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,842: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,843: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,843: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,844: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,844: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,845: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-10-22 12:40:06,845: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
