[rosmaster.main][INFO] 2021-11-21 07:08:23,060: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-11-21 07:08:23,061: Starting ROS Master Node
[xmlrpc][INFO] 2021-11-21 07:08:23,064: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-11-21 07:08:23,065: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-11-21 07:08:23,066: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-11-21 07:08:23,066: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-11-21 07:08:23,133: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,139: +PARAM [/roslaunch/uris/host_ss42_local__41904] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,722: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:38304/
[rosmaster.master][INFO] 2021-11-21 07:08:23,728: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:38304/
[rosmaster.master][INFO] 2021-11-21 07:08:23,741: +PUB [/rosout_agg] /rosout http://ss42.local:38304/
[rosmaster.master][INFO] 2021-11-21 07:08:23,769: +SUB [/rosout] /rosout http://ss42.local:38304/
[rosmaster.master][INFO] 2021-11-21 07:08:23,886: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,887: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,887: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,888: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,888: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,888: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,889: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,889: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,890: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,890: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,891: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,891: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,891: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,892: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,892: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,893: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,893: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,894: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,894: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,895: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,895: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,895: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,896: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/lane_recovery_timeout_reached] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,896: +PARAM [/ss42/fsm_node/events/joystick_override_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,897: +PARAM [/ss42/joy_node/deadzone] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,897: +PARAM [/ss42/ground_projection/config] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,898: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,898: +PARAM [/ss42/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 07:08:23,899: +PARAM [/ss42/fsm_node/states/COORDINATION/transitions/intersection_go] by /roslaunch
