[rosmaster.main][INFO] 2021-12-06 08:38:22,643: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-06 08:38:22,643: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-06 08:38:22,646: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-06 08:38:22,647: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-06 08:38:22,647: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-06 08:38:22,648: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-06 08:38:22,750: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:22,756: +PARAM [/roslaunch/uris/host_ss42_local__33495] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,449: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,449: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,450: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,450: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,451: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,451: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,452: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,452: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,453: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,453: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,454: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,454: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,455: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,455: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,455: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,456: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,457: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,457: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,458: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,458: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,459: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,459: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,460: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/lane_recovery_timeout_reached] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,460: +PARAM [/ss42/fsm_node/events/joystick_override_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,461: +PARAM [/ss42/joy_node/deadzone] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,461: +PARAM [/ss42/ground_projection/config] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,461: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,462: +PARAM [/ss42/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,463: +PARAM [/ss42/fsm_node/states/COORDINATION/transitions/intersection_go] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,463: +PARAM [/ss42/fsm_node/nodes/framerate_high] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,464: +PARAM [/ss42/fsm_node/events/vehicle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,464: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,465: +PARAM [/ss42/car_cmd_switch_node/source_topics/coordination] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,466: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,466: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/transitions/obstacle_detection] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,467: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,467: +PARAM [/ss42/led_emitter_node/LED_protocol/colors/yellow] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,468: +PARAM [/ss42/fsm_node/initial_state] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,468: +PARAM [/ss42/fsm_node/nodes/stop_line_filter_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,469: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,469: +PARAM [/ss42/joy_mapper_node/steer_angle_gain] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,469: +PARAM [/ss42/fsm_node/events/obstacle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,470: +PARAM [/ss42/fsm_node/states/INTERSECTION_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,470: +PARAM [/ss42/fsm_node/states/AVOID_VEHICLE/transitions/vehicle_cleared] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,471: +PARAM [/ss42/fsm_node/nodes/led_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,471: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_on/inputs] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,471: +PARAM [/ss42/ground_projection/config_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,472: +PARAM [/ss42/fsm_node/events/intersection_go/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,472: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,473: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,473: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,474: +PARAM [/ss42/fsm_node/states/INTERSECTION_CONTROL/transitions/intersection_done] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,474: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,475: +PARAM [/ss42/fsm_node/states/COORDINATION/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,475: +PARAM [/ss42/fsm_node/events/start_avoidance/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,475: +PARAM [/ss42/fsm_node/states/INTERSECTION_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,476: +PARAM [/ss42/lane_controller_node/theta_thres] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,476: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,477: +PARAM [/ss42/fsm_node/states/AVOID_OBSTACLE/transitions/obstacle_cleared] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,477: +PARAM [/ss42/fsm_node/events/at_stop_line/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,477: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/transitions/at_stop_line] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,478: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_go/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,478: +PARAM [/ss42/led_emitter_node/LED_protocol/frequencies/f2] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,479: +PARAM [/ss42/line_detector_node/top_cutoff] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,479: +PARAM [/ss42/camera_node/res_w] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:38:23,480: +PARAM [/ss42/lane_filter_node/use_propagation] by /roslaunch
