[rosmaster.main][INFO] 2021-12-08 10:38:22,519: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-08 10:38:22,520: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-08 10:38:22,522: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-08 10:38:22,523: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-08 10:38:22,524: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-08 10:38:22,524: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-08 10:38:22,577: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:22,584: +PARAM [/roslaunch/uris/host_ss42_local__40016] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,291: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,292: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,294: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,295: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,296: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,297: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,300: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:40415/
[rosmaster.master][INFO] 2021-12-08 10:38:23,300: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,302: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,303: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,305: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:40415/
[rosmaster.master][INFO] 2021-12-08 10:38:23,305: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,307: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,310: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,311: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,312: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,314: +PUB [/rosout_agg] /rosout http://ss42.local:40415/
[rosmaster.master][INFO] 2021-12-08 10:38:23,315: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,316: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,318: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,320: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,323: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,324: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,326: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,328: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,330: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/lane_recovery_timeout_reached] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,333: +PARAM [/ss42/fsm_node/events/joystick_override_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,334: +PARAM [/ss42/joy_node/deadzone] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,336: +PARAM [/ss42/ground_projection/config] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,338: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,340: +SUB [/rosout] /rosout http://ss42.local:40415/
[rosmaster.master][INFO] 2021-12-08 10:38:23,340: +PARAM [/ss42/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,342: +PARAM [/ss42/fsm_node/states/COORDINATION/transitions/intersection_go] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,342: +PARAM [/ss42/fsm_node/nodes/framerate_high] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,343: +PARAM [/ss42/fsm_node/events/vehicle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,343: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,343: +PARAM [/ss42/car_cmd_switch_node/source_topics/coordination] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,344: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,344: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/transitions/obstacle_detection] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,345: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,345: +PARAM [/ss42/led_emitter_node/LED_protocol/colors/yellow] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,346: +PARAM [/ss42/fsm_node/initial_state] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,346: +PARAM [/ss42/fsm_node/nodes/stop_line_filter_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,347: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,347: +PARAM [/ss42/joy_mapper_node/steer_angle_gain] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,348: +PARAM [/ss42/fsm_node/events/obstacle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,348: +PARAM [/ss42/fsm_node/states/INTERSECTION_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,349: +PARAM [/ss42/fsm_node/states/AVOID_VEHICLE/transitions/vehicle_cleared] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,349: +PARAM [/ss42/fsm_node/nodes/led_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,349: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_on/inputs] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,350: +PARAM [/ss42/ground_projection/config_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,350: +PARAM [/ss42/fsm_node/events/intersection_go/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,351: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,351: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,352: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,352: +PARAM [/ss42/fsm_node/states/INTERSECTION_CONTROL/transitions/intersection_done] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,353: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,353: +PARAM [/ss42/fsm_node/states/COORDINATION/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,353: +PARAM [/ss42/fsm_node/events/start_avoidance/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,354: +PARAM [/ss42/fsm_node/states/INTERSECTION_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,354: +PARAM [/ss42/lane_controller_node/theta_thres] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,355: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,355: +PARAM [/ss42/fsm_node/states/AVOID_OBSTACLE/transitions/obstacle_cleared] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,356: +PARAM [/ss42/fsm_node/events/at_stop_line/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,356: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/transitions/at_stop_line] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,357: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_go/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,357: +PARAM [/ss42/led_emitter_node/LED_protocol/frequencies/f2] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,358: +PARAM [/ss42/line_detector_node/top_cutoff] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,358: +PARAM [/ss42/camera_node/res_w] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,359: +PARAM [/ss42/lane_filter_node/use_propagation] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,359: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,360: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_C/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,360: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,360: +PARAM [/ss42/fsm_node/events/vehicle_cleared/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,361: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/transitions/vehicle_detection] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,361: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,362: +PARAM [/ss42/fsm_node/nodes/line_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,362: +PARAM [/ss42/lane_controller_node/k_theta] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,363: +PARAM [/ss42/camera_node/res_h] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,363: +PARAM [/ss42/lane_controller_node/v_bar] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,364: +PARAM [/ss42/fsm_node/events/vehicle_detection/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,364: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,364: +PARAM [/ss42/fsm_node/events/obstacle_cleared/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,365: +PARAM [/ss42/fsm_node/events/obstacle_detection/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,365: +PARAM [/ss42/led_emitter_node/LED_protocol/colors/green] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,366: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 10:38:23,366: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_B/color] by /roslaunch
