[rosmaster.main][INFO] 2021-12-06 07:56:08,754: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-06 07:56:08,755: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-06 07:56:08,759: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-06 07:56:08,762: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-06 07:56:08,763: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-06 07:56:08,763: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-06 07:56:08,887: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:08,897: +PARAM [/roslaunch/uris/host_ss42_local__43054] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,027: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:39272/
[rosmaster.master][INFO] 2021-12-06 07:56:10,037: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:39272/
[rosmaster.master][INFO] 2021-12-06 07:56:10,058: +PUB [/rosout_agg] /rosout http://ss42.local:39272/
[rosmaster.master][INFO] 2021-12-06 07:56:10,106: +SUB [/rosout] /rosout http://ss42.local:39272/
[rosmaster.master][INFO] 2021-12-06 07:56:10,328: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,329: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,330: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,331: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,332: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,333: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,334: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,334: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,335: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,336: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,337: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,338: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,339: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,340: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,342: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,343: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:56:10,344: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
