[rosmaster.main][INFO] 2021-11-21 06:34:14,408: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-11-21 06:34:14,409: Starting ROS Master Node
[xmlrpc][INFO] 2021-11-21 06:34:14,413: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-11-21 06:34:14,416: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-11-21 06:34:14,417: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-11-21 06:34:14,417: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-11-21 06:34:14,501: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:14,512: +PARAM [/roslaunch/uris/host_ss42_local__32941] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,904: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,905: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,912: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,914: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,915: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,916: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,917: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,918: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,919: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,920: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,921: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,922: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,923: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,924: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,925: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,926: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,927: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,928: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,929: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,929: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,930: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-11-21 06:34:15,931: +PARAM [/enable_statistics] by /roslaunch
