[rosmaster.main][INFO] 2021-12-06 08:40:20,133: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-06 08:40:20,133: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-06 08:40:20,135: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-06 08:40:20,137: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-06 08:40:20,137: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-06 08:40:20,137: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-06 08:40:20,221: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,227: +PARAM [/roslaunch/uris/host_ss42_local__45479] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,925: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,926: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,927: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,927: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,928: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,928: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,928: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,929: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,929: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,930: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,930: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,931: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,931: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,931: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,932: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,934: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,935: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,936: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,936: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,937: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,939: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:36038/
[rosmaster.master][INFO] 2021-12-06 08:40:20,939: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,941: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,941: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/lane_recovery_timeout_reached] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,942: +PARAM [/ss42/fsm_node/events/joystick_override_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,943: +PARAM [/ss42/joy_node/deadzone] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,945: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:36038/
[rosmaster.master][INFO] 2021-12-06 08:40:20,945: +PARAM [/ss42/ground_projection/config] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,947: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,947: +PARAM [/ss42/cam_info_reader_node/pub_freq] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,948: +PARAM [/ss42/fsm_node/states/COORDINATION/transitions/intersection_go] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,950: +PARAM [/ss42/fsm_node/nodes/framerate_high] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,951: +PARAM [/ss42/fsm_node/events/vehicle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,952: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,954: +PUB [/rosout_agg] /rosout http://ss42.local:36038/
[rosmaster.master][INFO] 2021-12-06 08:40:20,955: +PARAM [/ss42/car_cmd_switch_node/source_topics/coordination] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,956: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,957: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/transitions/obstacle_detection] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,959: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,960: +PARAM [/ss42/led_emitter_node/LED_protocol/colors/yellow] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,961: +PARAM [/ss42/fsm_node/initial_state] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,963: +PARAM [/ss42/fsm_node/nodes/stop_line_filter_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,964: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,965: +PARAM [/ss42/joy_mapper_node/steer_angle_gain] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,968: +PARAM [/ss42/fsm_node/events/obstacle_cleared/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,969: +PARAM [/ss42/fsm_node/states/INTERSECTION_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,971: +PARAM [/ss42/fsm_node/states/AVOID_VEHICLE/transitions/vehicle_cleared] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,972: +PARAM [/ss42/fsm_node/nodes/led_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,973: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_on/inputs] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,973: +PARAM [/ss42/ground_projection/config_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,975: +PARAM [/ss42/fsm_node/events/intersection_go/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,976: +PARAM [/ss42/fsm_node/events/parallel_autonomy_off/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,979: +PARAM [/ss42/fsm_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,980: +PARAM [/ss42/fsm_node/states/PARALLEL_AUTONOMY/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,982: +SUB [/rosout] /rosout http://ss42.local:36038/
[rosmaster.master][INFO] 2021-12-06 08:40:20,983: +PARAM [/ss42/fsm_node/states/INTERSECTION_CONTROL/transitions/intersection_done] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 08:40:20,984: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING_AVOID/active_nodes] by /roslaunch
