[rosmaster.main][INFO] 2021-12-08 14:14:38,615: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-08 14:14:38,615: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-08 14:14:38,618: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-08 14:14:38,620: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-08 14:14:38,620: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-08 14:14:38,621: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-08 14:14:38,666: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:38,672: +PARAM [/roslaunch/uris/host_ss42_local__34234] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,407: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,410: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,411: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,412: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,413: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,413: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,415: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,416: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:46465/
[rosmaster.master][INFO] 2021-12-08 14:14:39,416: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,418: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,419: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,420: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,422: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:46465/
[rosmaster.master][INFO] 2021-12-08 14:14:39,422: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,424: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,425: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,426: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,429: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 14:14:39,430: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
