[rosmaster.main][INFO] 2021-12-08 11:09:00,652: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-08 11:09:00,652: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-08 11:09:00,655: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-08 11:09:00,656: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-08 11:09:00,657: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-08 11:09:00,657: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-08 11:09:00,698: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:00,704: +PARAM [/roslaunch/uris/host_ss42_local__34093] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,430: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,431: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,432: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,434: +SERVICE [/rosout/get_loggers] /rosout http://ss42.local:44716/
[rosmaster.master][INFO] 2021-12-08 11:09:01,434: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,436: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,439: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,439: +SERVICE [/rosout/set_logger_level] /rosout http://ss42.local:44716/
[rosmaster.master][INFO] 2021-12-08 11:09:01,440: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,441: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,444: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,445: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,446: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,446: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,447: +PARAM [/ss42/fsm_node/states/LANE_FOLLOWING/lights] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,447: +PARAM [/ss42/fsm_node/events/obstacle_cleared/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,448: +PARAM [/ss42/fsm_node/events/intersection_done/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,448: +PARAM [/ss42/fsm_node/events/joystick_override_on/msg_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,448: +PARAM [/ss42/duckiebot_visualizer/veh_name] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,449: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/CAR_SIGNAL_A/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,449: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/trigger] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,450: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/active_nodes] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,450: +PARAM [/ss42/car_cmd_switch_node/source_topics/lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,451: +PARAM [/enable_statistics] by /roslaunch
[rosmaster.master][INFO] 2021-12-08 11:09:01,451: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/lane_recovery_timeout_reached] by /roslaunch
