[rosmaster.main][INFO] 2021-12-06 07:37:22,627: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-06 07:37:22,628: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-06 07:37:22,633: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-06 07:37:22,635: Started XML-RPC server [http://ss42.local:11311/]
[rosmaster.master][INFO] 2021-12-06 07:37:22,636: Master initialized: port[11311], uri[http://ss42.local:11311/]
[xmlrpc][INFO] 2021-12-06 07:37:22,637: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-06 07:37:22,730: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:22,741: +PARAM [/roslaunch/uris/host_ss42_local__37971] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,121: +PARAM [/ss42/lane_controller_node/k_d] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,122: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/traffic_light_stop/color] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,123: +PARAM [/ss42/fsm_node/states/JOYSTICK_CONTROL/transitions/start_avoidance] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,124: +PARAM [/ss42/led_emitter_node/LED_protocol/signals/light_off/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,124: +PARAM [/ss42/fsm_node/nodes/static_object_detector_node] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,125: +PARAM [/ss42/fsm_node/events/intersection_done_and_parallel_autonomy/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,126: +PARAM [/ss42/logic_gate_node/events/parallel_autonomy_on/topic] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,127: +PARAM [/ss42/cam_info_reader_node/image_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,128: +PARAM [/ss42/fsm_node/states/LANE_RECOVERY/transitions/found_lane] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,129: +PARAM [/ss42/car_cmd_switch_node/source_topics/obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,130: +PARAM [/ss42/logic_gate_node/gates/intersection_done_and_parallel_autonomy_off/gate_type] by /roslaunch
[rosmaster.master][INFO] 2021-12-06 07:37:24,131: +PARAM [/ss42/fsm_node/events/intersection_done_and_not_parallel_autonomy/topic] by /roslaunch
